#,Entry Time,Exit Time,Side,Qty,Entry Price,Exit Price,Commission,PnL,PnL%,Hold Hours
58,2025-09-16 21:00,2025-09-18 07:00,SHORT,2149.7197874408635,3.144000,3.154000,13.5174,-21.50,-0.32%,34.0
59,2025-09-18 08:00,2025-09-19 10:00,LONG,2130.38041764723,3.155000,3.119000,13.4427,-76.69,-1.14%,26.0
60,2025-09-19 11:00,2025-09-24 06:00,SHORT,2131.6746990536008,3.112000,2.844000,13.2675,571.29,8.61%,115.0
61,2025-09-24 07:00,2025-09-24 22:00,LONG,2529.0986878519066,2.832000,2.776000,14.3248,-141.63,-1.98%,15.0
62,2025-09-24 23:00,2025-09-26 21:00,SHORT,2517.726276968226,2.786000,2.727000,14.0288,148.55,2.12%,46.0
63,2025-09-26 22:00,2025-09-27 05:00,LONG,2615.192972131781,2.732000,2.692000,14.2894,-104.61,-1.46%,7.0
64,2025-09-27 06:00,2025-09-29 00:00,SHORT,2613.1008177540757,2.691000,2.704000,14.0637,-33.97,-0.48%,42.0
65,2025-09-29 01:00,2025-09-29 04:00,LONG,2599.9515155661647,2.688000,2.670000,13.9773,-46.80,-0.67%,3.0
66,2025-09-29 05:00,2025-10-01 00:00,SHORT,2567.9422124822718,2.700000,2.744000,13.8669,-112.99,-1.63%,43.0
67,2025-10-01 01:00,2025-10-04 07:00,LONG,2474.702442237972,2.752000,2.803000,13.6208,126.21,1.85%,78.0
68,2025-10-04 08:00,2025-10-05 01:00,SHORT,2460.8086172773037,2.810000,2.834000,13.8297,-59.06,-0.85%,17.0
69,2025-10-05 02:00,2025-10-05 12:00,LONG,2419.755068851382,2.830000,2.793000,13.6958,-89.53,-1.31%,10.0
70,2025-10-05 13:00,2025-10-06 04:00,SHORT,2405.533316309601,2.806000,2.835000,13.4999,-69.76,-1.03%,15.0
71,2025-10-06 05:00,2025-10-07 07:00,LONG,2342.2398423360883,2.849000,2.781000,13.3461,-159.27,-2.39%,26.0
72,2025-10-07 08:00,2025-10-12 16:00,SHORT,2331.3772017205843,2.792000,2.258000,13.0184,1244.96,19.13%,128.0
73,2025-10-12 17:00,2025-10-14 07:00,LONG,3376.146131484902,2.275000,2.294000,15.3615,64.15,0.84%,38.0
74,2025-10-14 08:00,2025-10-14 20:00,SHORT,3380.0678935368933,2.287000,2.291000,15.4604,-13.52,-0.17%,12.0
